Row ID|Order Priority|Discount|Unit Price|Shipping Cost|Customer ID|Customer Name|Ship Mode|Customer Segment|Product Category|Product Sub-Category|Product Container|Product Name|Product Base Margin|Country|Region|State or Province|City|Postal Code|Order Date|Ship Date|Profit|Quantity ordered new|Sales|Order ID
24844|Medium|0.09|78.69|19.99|14|Gwendolyn F Tyson|Regular Air|Small Business|Furniture|Office Furnishings|Small Box|Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock|0.43|United States|Central|Minnesota|Prior Lake|55372|2015-05-12|2015-05-14|803.4705|16|1164.45|86838
24846|Medium|0.08|3.28|2.31|14|Gwendolyn F Tyson|Regular Air|Small Business|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 321|0.56|United States|Central|Minnesota|Prior Lake|55372|2015-05-12|2015-05-13|-24.03|7|22.23|86838
24847|Medium|0.05|3.28|4.2|14|Gwendolyn F Tyson|Regular Air|Small Business|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 351|0.56|United States|Central|Minnesota|Prior Lake|55372|2015-05-12|2015-05-13|-37.03|4|13.99|86838
24848|Medium|0.05|3.58|1.63|14|Gwendolyn F Tyson|Regular Air|Small Business|Office Supplies|Rubber Bands|Wrap Bag|OIC Colored Binder Clips, Assorted Sizes|0.36|United States|Central|Minnesota|Prior Lake|55372|2015-05-12|2015-05-13|-0.71|4|14.26|86838
22890|High|0.02|5.98|5.15|62|Pam Gilbert|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 193|0.36|United States|Central|Texas|Round Rock|78664|2015-05-09|2015-05-11|2.140000000000002|3|22.85|87407
25354|High|0.04|29.14|4.86|62|Pam Gilbert|Regular Air|Corporate|Office Supplies|Paper|Wrap Bag|Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate|0.38|United States|Central|Texas|Round Rock|78664|2015-06-12|2015-06-14|349.4091|17|506.39|87408
6243|Not Specified|0.04|160.98|30.0|94|Eddie House Mueller|Delivery Truck|Home Office|Furniture|Chairs & Chairmats|Jumbo Drum|Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms|0.62|United States|Central|Illinois|Chicago|60601|2015-05-03|2015-05-05|116.1|37|6276.34|44231
6244|Not Specified|0.01|17.98|4.0|94|Eddie House Mueller|Regular Air|Home Office|Technology|Computer Peripherals|Small Box|Belkin 107-key enhanced keyboard, USB/PS/2 interface|0.79|United States|Central|Illinois|Chicago|60601|2015-05-03|2015-05-05|-87.96|146|2664.4|44231
24243|Not Specified|0.04|160.98|30.0|97|Max McKenna|Delivery Truck|Home Office|Furniture|Chairs & Chairmats|Jumbo Drum|Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms|0.62|United States|Central|Kansas|Manhattan|66502|2015-05-03|2015-05-05|255.42|9|1526.68|87306
24245|Not Specified|0.06|115.99|8.99|97|Max McKenna|Regular Air|Home Office|Technology|Telephones and Communication|Small Box|5185|0.58|United States|Central|Kansas|Manhattan|66502|2015-05-03|2015-05-04|685.6146|20|1952.56|87306
24319|Not Specified|0.02|1.74|4.08|129|Kara Allison|Regular Air|Small Business|Furniture|Office Furnishings|Small Pack|Eldon Regeneration Recycled Desk Accessories, Smoke|0.53|United States|Central|Illinois|Alton|62002|2015-01-27|2015-01-28|-37.39|5|10.23|86693
18161|Not Specified|0.07|15.74|1.39|129|Kara Allison|Regular Air|Small Business|Office Supplies|Envelopes|Small Box|"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"|0.4|United States|Central|Illinois|Alton|62002|2015-05-25|2015-05-26|149.8887|14|217.23|86694
23365|Not Specified|0.01|45.98|4.8|146|Yvonne Fox|Regular Air|Small Business|Furniture|Office Furnishings|Wrap Bag|Tenex B1-RE Series Chair Mats for Low Pile Carpets|0.68|United States|Central|Texas|Watauga|76148|2015-03-12|2015-03-13|133.5771|4|193.59|91088
22907|Medium|0.06|180.98|26.2|146|Yvonne Fox|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Global Ergonomic Managers Chair|0.59|United States|Central|Texas|Watauga|76148|2015-04-23|2015-04-24|251.4084|5|929.57|91090
18521|High|0.07|10.06|2.06|188|Alex Harrell|Regular Air|Corporate|Office Supplies|Paper|Wrap Bag|Riverleaf Stik-Withit® Designer Note Cubes®|0.39|United States|Central|Texas|Gainesville|76240|2015-05-22|2015-05-22|152.6556|23|221.24|88361
18522|High|0.07|1.68|1.57|188|Alex Harrell|Regular Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 323|0.59|United States|Central|Texas|Gainesville|76240|2015-05-22|2015-05-23|7.150000000000006|29|46.65|88361
18817|High|0.1|58.1|1.49|190|Lloyd Norris|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Avery Arch Ring Binders|0.38|United States|Central|Illinois|Arlington Heights|60004|2015-02-12|2015-02-13|113.6499|3|164.71|89092
18818|High|0.01|80.48|4.5|191|Gerald Kearney|Regular Air|Corporate|Office Supplies|Appliances|Small Box|APC 7 Outlet Network SurgeArrest Surge Protector|0.55|United States|Central|Illinois|Aurora|60505|2015-02-12|2015-02-15|-35.4744|1|79.68|89092
20520|Not Specified|0.05|3.8|1.49|191|Gerald Kearney|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Durable Pressboard Binders|0.38|United States|Central|Illinois|Aurora|60505|2015-04-09|2015-04-11|14.467|14|53.26|89093
20521|Not Specified|0.09|30.73|4.0|191|Gerald Kearney|Regular Air|Corporate|Technology|Computer Peripherals|Small Box|Fellowes 17-key keypad for PS/2 interface|0.75|United States|Central|Illinois|Aurora|60505|2015-04-09|2015-04-09|-99.9864|7|203.49|89093
20522|Not Specified|0.0|125.99|8.08|191|Gerald Kearney|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|StarTAC ST7762|0.57|United States|Central|Illinois|Aurora|60505|2015-04-09|2015-04-10|1348.59672|22|2356.01|89093
25158|Critical|0.0|161.55|19.99|197|Samantha Weaver|Regular Air|Small Business|Office Supplies|Storage & Organization|Small Box|Fellowes Super Stor/Drawer® Files|0.66|United States|Central|Kansas|Overland Park|66212|2015-04-02|2015-04-04|1167.158|19|3108.98|88921
7158|Critical|0.0|161.55|19.99|198|Leroy Blanchard|Regular Air|Small Business|Office Supplies|Storage & Organization|Small Box|Fellowes Super Stor/Drawer® Files|0.66|United States|Central|Michigan|Detroit|48138|2015-04-02|2015-04-04|1014.92|77|12599.55|51072
22136|Not Specified|0.09|12.28|4.86|202|Max Small|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 1933|0.38|United States|Central|Oklahoma|Bartlesville|74006|2015-04-27|2015-04-28|1.73|3|34.65|88971
18783|High|0.03|7.37|5.53|202|Max Small|Regular Air|Corporate|Technology|Computer Peripherals|Small Pack|"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box"|0.69|United States|Central|Oklahoma|Bartlesville|74006|2015-01-16|2015-01-18|-133.7|11|85.79|88972
25500|Medium|0.07|5.81|8.49|233|Michele Bullard|Regular Air|Small Business|Office Supplies|Binders and Binder Accessories|Small Box|Fellowes Black Plastic Comb Bindings|0.39|United States|Central|Illinois|Orland Park|60462|2015-02-20|2015-02-22|-243.2365|10|58.8|90237
25501|Medium|0.04|9.65|6.22|233|Michele Bullard|Regular Air|Small Business|Furniture|Office Furnishings|Small Box|Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak|0.55|United States|Central|Illinois|Orland Park|60462|2015-02-20|2015-02-21|-53.62|12|120.47|90237
23058|Critical|0.06|279.81|23.19|234|Don Cameron|Delivery Truck|Small Business|Office Supplies|Appliances|Jumbo Drum|Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators|0.59|United States|Central|Iowa|Newton|50208|2015-02-05|2015-02-06|1103.9724|6|1599.96|90236
25121|High|0.03|28.53|1.49|234|Don Cameron|Regular Air|Small Business|Office Supplies|Binders and Binder Accessories|Small Box|Lock-Up Easel 'Spel-Binder'|0.38|United States|Central|Iowa|Newton|50208|2015-03-27|2015-03-29|136.3371|7|197.59|90238
25122|High|0.01|15.28|1.99|234|Don Cameron|Regular Air|Small Business|Technology|Computer Peripherals|Small Pack|Memorex 4.7GB DVD+R, 3/Pack|0.42|United States|Central|Iowa|Newton|50208|2015-03-27|2015-03-29|-12.46|2|33.04|90238
22044|Low|0.06|3.34|7.49|234|Don Cameron|Express Air|Small Business|Office Supplies|Pens & Art Supplies|Wrap Bag|Eldon Spacemaker® Box, Quick-Snap Lid, Clear|0.54|United States|Central|Iowa|Newton|50208|2015-04-28|2015-04-30|-175.86|8|27.45|90239
18773|Critical|0.02|2.58|1.3|250|Brenda Nelson Blanchard|Express Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|DIXON Oriole® Pencils|0.59|United States|Central|Minnesota|Richfield|55423|2015-05-28|2015-05-29|1.108000000000001|39|109.74|87214
18774|Critical|0.02|65.99|3.9|250|Brenda Nelson Blanchard|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|StarTAC Series|0.55|United States|Central|Minnesota|Richfield|55423|2015-05-28|2015-05-29|1061.379|27|1543.55|87214
20858|Not Specified|0.0|73.98|12.14|266|Ross Frederick|Express Air|Corporate|Technology|Computer Peripherals|Small Box|Keytronic 105-Key Spanish Keyboard|0.67|United States|Central|Texas|San Antonio|78207|2015-05-18|2015-05-20|326.25|17|1300.81|90593
19823|Medium|0.08|6.48|7.03|266|Ross Frederick|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 214|0.37|United States|Central|Texas|San Antonio|78207|2015-05-15|2015-05-16|8.93200000000001|10|67.86|90594
19824|Medium|0.01|20.34|35.0|266|Ross Frederick|Regular Air|Corporate|Office Supplies|Storage & Organization|Large Box|Tennsco Commercial Shelving|0.84|United States|Central|Texas|San Antonio|78207|2015-05-15|2015-05-16|229.6380000000001|33|747.28|90594
19168|Low|0.0|4.13|5.34|286|Virginia Gay|Regular Air|Small Business|Office Supplies|Binders and Binder Accessories|Small Box|ACCOHIDE® Binder by Acco|0.38|United States|Central|Kansas|Shawnee|66203|2015-06-17|2015-06-21|-61.87|9|40.95|89761
19169|Low|0.1|130.98|54.74|286|Virginia Gay|Delivery Truck|Small Business|Furniture|Bookcases|Jumbo Box|O'Sullivan Elevations Bookcase, Cherry Finish|0.69|United States|Central|Kansas|Shawnee|66203|2015-06-17|2015-06-21|-530.24|9|1155.73|89761
25624|Critical|0.09|28.48|1.99|288|Patricia Cole Blair|Regular Air|Small Business|Technology|Computer Peripherals|Small Pack|Memorex 4.7GB DVD+RW, 3/Pack|0.4|United States|Central|Kansas|Wichita|67212|2015-01-16|2015-01-19|132.687|7|192.3|89762
25625|Critical|0.08|65.99|4.99|288|Patricia Cole Blair|Express Air|Small Business|Technology|Telephones and Communication|Small Box|MicroTAC 650|0.58|United States|Central|Kansas|Wichita|67212|2015-01-16|2015-01-18|496.89|14|748.1|89762
18853|Medium|0.04|1637.53|24.49|314|Ruby Gibbons|Regular Air|Corporate|Office Supplies|Scissors, Rulers and Trimmers|Medium Box|High Speed Automatic Electric Letter Opener|0.81|United States|Central|Illinois|Forest Park|60130|2015-03-20|2015-03-22|-1759.58|2|3206.94|89166
25111|Not Specified|0.06|7.99|5.03|326|Brenda May|Regular Air|Consumer|Technology|Telephones and Communication|Medium Box|Bell Sonecor JB700 Caller ID|0.6|United States|Central|Illinois|Batavia|60510|2015-06-09|2015-06-10|-29.172|4|28.46|90973
3392|Not Specified|0.02|200.98|55.96|373|Jeanne Werner|Delivery Truck|Small Business|Furniture|Bookcases|Jumbo Box|O'Sullivan Living Dimensions 3-Shelf Bookcases|0.75|United States|Central|Michigan|Detroit|48234|2015-03-14|2015-03-16|-163.63|45|9539.6|24193
3393|Not Specified|0.02|4.28|5.17|373|Jeanne Werner|Regular Air|Small Business|Office Supplies|Paper|Small Box|Xerox 1971|0.4|United States|Central|Michigan|Detroit|48234|2015-03-14|2015-03-15|-63.87|24|109.86|24193
3394|Not Specified|0.04|85.99|0.99|373|Jeanne Werner|Regular Air|Small Business|Technology|Telephones and Communication|Wrap Bag|Accessory4|0.85|United States|Central|Michigan|Detroit|48234|2015-03-14|2015-03-16|-175.175|19|1426.51|24193
19073|Medium|0.03|25.98|5.37|377|Sylvia Bush|Regular Air|Consumer|Office Supplies|Appliances|Medium Box|3M Office Air Cleaner|0.5|United States|Central|Illinois|Batavia|60510|2015-04-17|2015-04-17|250.0376|17|460.87|89579
22401|Not Specified|0.07|415.88|11.37|381|Danielle Watts|Regular Air|Corporate|Office Supplies|Storage & Organization|Small Box|Deluxe Rollaway Locking File with Drawer|0.57|United States|Central|Illinois|Bloomington|61701|2015-05-01|2015-05-01|-539.59|1|394.51|88929
20919|High|0.1|8.88|6.28|387|Angela Howe|Express Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|GBC Instant Index™ System for Binding Systems|0.35|United States|Central|Nebraska|Grand Island|68801|2015-06-12|2015-06-14|-27.28375|15|126.9|90339
22223|Critical|0.03|5.28|5.66|388|Roger Schwartz|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)|0.4|United States|Central|Nebraska|Kearney|68847|2015-01-03|2015-01-05|-51.5592|4|22.82|90337
22224|Critical|0.01|110.99|2.5|388|Roger Schwartz|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|T18|0.57|United States|Central|Nebraska|Kearney|68847|2015-01-03|2015-01-06|-263.56572|2|188.66|90337
23853|Low|0.03|160.98|30.0|389|Joel Buckley|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms|0.62|United States|Central|Nebraska|Lincoln|68502|2015-02-06|2015-02-10|1273.2087|11|1845.23|90338
25449|Medium|0.02|34.98|7.53|392|Erica R Fuller|Regular Air|Corporate|Technology|Computer Peripherals|Small Box|Fellowes EZ Multi-Media Keyboard|0.76|United States|Central|Missouri|Clayton|63105|2015-03-05|2015-03-07|-159.68|1|37.16|86383
25450|Medium|0.01|19.99|11.17|392|Erica R Fuller|Regular Air|Corporate|Furniture|Office Furnishings|Large Box|Telescoping Adjustable Floor Lamp|0.6|United States|Central|Missouri|Clayton|63105|2015-03-05|2015-03-08|27.91|2|43.65|86383
19104|Low|0.07|29.17|6.27|408|Calvin Parsons Walter|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Binding Machine Supplies|0.37|United States|Central|Texas|San Juan|78589|2015-05-02|2015-05-06|236.2371|14|400.47|89639
25813|Critical|0.0|7.59|4.0|444|Thelma Abrams|Regular Air|Small Business|Furniture|Office Furnishings|Wrap Bag|Master Giant Foot® Doorstop, Safety Yellow|0.42|United States|Central|Illinois|Urbana|61801|2015-05-25|2015-05-28|86.438|43|355.92|88085
23153|Not Specified|0.03|48.04|19.99|445|Judy Barrett|Regular Air|Small Business|Office Supplies|Paper|Small Box|14-7/8 x 11 Blue Bar Computer Printout Paper|0.37|United States|Central|Nebraska|Norfolk|68701|2015-04-11|2015-04-13|-4.459999999999994|2|101.71|88083
23862|High|0.09|200.98|55.96|445|Judy Barrett|Delivery Truck|Small Business|Furniture|Bookcases|Jumbo Box|O'Sullivan Living Dimensions 3-Shelf Bookcases|0.75|United States|Central|Nebraska|Norfolk|68701|2015-06-23|2015-06-24|-512.8720000000001|9|1766.68|88084
23863|High|0.09|2.78|0.97|445|Judy Barrett|Regular Air|Small Business|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 333|0.59|United States|Central|Nebraska|Norfolk|68701|2015-06-23|2015-06-24|-3.784|11|29.02|88084
19694|Not Specified|0.04|130.98|30.0|447|Valerie Moon|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum|0.78|United States|Central|Minnesota|Roseville|55113|2015-06-25|2015-06-28|-82.904|1|159.51|90449
19695|Not Specified|0.05|200.99|4.2|447|Valerie Moon|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|2160i|0.59|United States|Central|Minnesota|Roseville|55113|2015-06-25|2015-06-25|1268.8065|11|1838.85|90449
20637|Critical|0.03|11.97|4.98|483|Edgar McKenzie|Regular Air|Corporate|Office Supplies|Appliances|Small Box|Staples 6 Outlet Surge|0.58|United States|Central|Illinois|Oswego|60543|2015-01-27|2015-01-28|-18.19|6|73.18|90353
22864|Not Specified|0.06|3.36|6.27|483|Edgar McKenzie|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Cardinal Poly Pocket Divider Pockets for Ring Binders|0.4|United States|Central|Illinois|Oswego|60543|2015-04-23|2015-04-24|-24.05754|2|8.82|90354
22865|Not Specified|0.07|699.99|24.49|483|Edgar McKenzie|Regular Air|Corporate|Technology|Copiers and Fax|Large Box|Canon PC1060 Personal Laser Copier|0.41|United States|Central|Illinois|Oswego|60543|2015-04-23|2015-04-25|2583.56148|9|5976.09|90354
20216|Low|0.07|12.64|4.98|518|Mark Ritchie|Regular Air|Home Office|Furniture|Office Furnishings|Small Pack|Nu-Dell Executive Frame|0.48|United States|Central|Missouri|Clayton|63105|2015-06-05|2015-06-12|113.415|16|199.76|90867
20811|Medium|0.05|59.78|10.29|539|Alice Coley|Regular Air|Small Business|Office Supplies|Binders and Binder Accessories|Small Box|GBC Recycled Regency Composition Covers|0.39|United States|Central|Illinois|Urbana|61801|2015-05-14|2015-05-15|159.5297|7|414.49|91174
20812|Medium|0.08|20.99|1.25|540|Ruth Lamm|Regular Air|Small Business|Technology|Telephones and Communication|Small Pack|Accessory29|0.83|United States|Central|Illinois|Vernon Hills|60061|2015-05-14|2015-05-16|15.37140000000001|28|469.69|91174
24783|Medium|0.05|204.1|13.99|540|Ruth Lamm|Regular Air|Small Business|Technology|Office Machines|Medium Box|Soundgear Copyboard Conference Phone, Optional Battery|0.37|United States|Central|Illinois|Vernon Hills|60061|2015-05-23|2015-05-25|5924.1123|41|8585.67|91175
24132|High|0.05|1.68|1.57|550|Edna Monroe Talley|Regular Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 323|0.59|United States|Central|Texas|Seguin|78155|2015-01-30|2015-01-31|-33.34|11|18.75|90909
24133|High|0.1|218.75|69.64|550|Edna Monroe Talley|Delivery Truck|Corporate|Furniture|Tables|Jumbo Box|BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables|0.77|United States|Central|Texas|Seguin|78155|2015-01-30|2015-02-01|-201.276|1|188.51|90909
23209|Medium|0.06|549.99|49.0|550|Edna Monroe Talley|Delivery Truck|Corporate|Technology|Copiers and Fax|Jumbo Drum|Sharp 1540cs Digital Laser Copier|0.35|United States|Central|Texas|Seguin|78155|2015-06-12|2015-06-13|4637.4072|13|6720.88|90910
23210|Medium|0.08|115.99|5.99|550|Edna Monroe Talley|Express Air|Corporate|Technology|Telephones and Communication|Small Box|2160|0.57|United States|Central|Texas|Seguin|78155|2015-06-12|2015-06-13|-239.5415|1|102.21|90910
24134|High|0.0|15.04|1.97|551|Peggy Chan|Regular Air|Corporate|Office Supplies|Paper|Wrap Bag|White GlueTop Scratch Pads|0.39|United States|Central|Texas|Sherman|75090|2015-01-30|2015-02-01|21.5142|2|31.18|90909
23719|Critical|0.05|4.13|5.04|573|Vanessa Winstead|Regular Air|Home Office|Office Supplies|Binders and Binder Accessories|Small Box|"ACCOHIDE® 3-Ring Binder, Blue, 1"""|0.38|United States|Central|Illinois|Pekin|61554|2015-03-13|2015-03-14|-12.1555|1|5.84|86555
21992|High|0.08|415.88|11.37|573|Vanessa Winstead|Regular Air|Corporate|Office Supplies|Storage & Organization|Small Box|Deluxe Rollaway Locking File with Drawer|0.57|United States|Central|Illinois|Pekin|61554|2015-02-26|2015-02-27|-269.0844|1|405.57|86556
19781|Critical|0.08|30.53|19.99|592|Eva Silverman|Regular Air|Small Business|Office Supplies|Labels|Small Box|Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White|0.39|United States|Central|Illinois|Wilmette|60091|2015-01-17|2015-01-17|-239.8656|10|285.87|86307
19782|Critical|0.01|1.68|1.57|593|Joel Huffman|Regular Air|Small Business|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 323|0.59|United States|Central|Illinois|Woodridge|60517|2015-01-17|2015-01-19|-53.444|12|20.37|86307
22996|Critical|0.09|13.79|8.78|594|Charlie Moore|Regular Air|Consumer|Furniture|Office Furnishings|Small Box|9-3/4 Diameter Round Wall Clock|0.43|United States|Central|Indiana|Anderson|46016|2015-03-15|2015-03-17|-22.12|1|17.44|86309
21662|Critical|0.04|39.48|1.99|594|Charlie Moore|Regular Air|Consumer|Technology|Computer Peripherals|Small Pack|80 Minute CD-R Spindle, 100/Pack - Staples|0.54|United States|Central|Indiana|Anderson|46016|2015-06-19|2015-06-22|484.8491999999999|18|702.68|86311
21663|Critical|0.04|3.7|1.61|594|Charlie Moore|Regular Air|Consumer|Furniture|Office Furnishings|Wrap Bag|3M Hangers With Command Adhesive|0.44|United States|Central|Indiana|Anderson|46016|2015-06-19|2015-06-20|18.0|18|67.24|86311
24480|Critical|0.03|3.8|1.49|596|Doris Fitzpatrick|Regular Air|Consumer|Office Supplies|Binders and Binder Accessories|Small Box|Durable Pressboard Binders|0.38|United States|Central|Indiana|Carmel|46032|2015-02-15|2015-02-17|15.2745|6|24.27|86308
24481|Critical|0.07|7.98|1.25|596|Doris Fitzpatrick|Regular Air|Consumer|Office Supplies|Paper|Wrap Bag|Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book|0.35|United States|Central|Indiana|Carmel|46032|2015-02-15|2015-02-17|26.5857|5|38.53|86308
24482|Critical|0.07|417.4|75.23|596|Doris Fitzpatrick|Delivery Truck|Consumer|Furniture|Tables|Jumbo Box|Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables|0.79|United States|Central|Indiana|Carmel|46032|2015-02-15|2015-02-16|-575.352|12|4910.72|86308
25949|Not Specified|0.1|6.48|5.9|597|Alexandra Wise|Regular Air|Small Business|Office Supplies|Paper|Small Box|Xerox 1976|0.37|United States|Central|Indiana|Columbus|47201|2015-06-10|2015-06-10|-51.635|19|116.8|86310
25539|Critical|0.03|14.2|5.3|619|Howard Rogers|Regular Air|Consumer|Furniture|Office Furnishings|Wrap Bag|Coloredge Poster Frame|0.46|United States|Central|Michigan|Southgate|48195|2015-01-07|2015-01-08|107.02|14|205.98|88196
19364|High|0.01|2.08|5.33|635|Juan Justice|Regular Air|Corporate|Furniture|Office Furnishings|Small Box|Eldon® Wave Desk Accessories|0.43|United States|Central|Minnesota|Saint Paul|55106|2015-04-05|2015-04-05|-103.7124|12|28.32|89284
19365|High|0.03|370.98|99.0|635|Juan Justice|Delivery Truck|Corporate|Office Supplies|Storage & Organization|Jumbo Drum|Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish|0.65|United States|Central|Minnesota|Saint Paul|55106|2015-04-05|2015-04-06|-124.2864|6|2309.49|89284
24869|Low|0.03|51.75|19.99|646|Robin High|Regular Air|Corporate|Furniture|Office Furnishings|Small Box|"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"|0.55|United States|Central|Minnesota|Shakopee|55379|2015-06-17|2015-06-22|261.444|16|818.81|90735
21760|Not Specified|0.02|25.38|8.99|648|Steve O'Brien|Regular Air|Home Office|Furniture|Office Furnishings|Small Pack|"Executive Impressions 13"" Chairman Wall Clock"|0.5|United States|Central|Illinois|Bolingbrook|60440|2015-06-21|2015-06-22|-10.36|1|34.11|91365
23154|Medium|0.02|3.78|0.71|649|Roger Meyer|Regular Air|Home Office|Office Supplies|Rubber Bands|Wrap Bag|Staples Bulldog Clip|0.39|United States|Central|Illinois|Buffalo Grove|60089|2015-05-29|2015-05-30|106.7499|40|154.71|91366
3086|Low|0.04|22.72|8.99|667|Allison Kirby|Regular Air|Corporate|Furniture|Office Furnishings|Small Pack|"Executive Impressions 14"" Two-Color Numerals Wall Clock"|0.44|United States|Central|Texas|Dallas|75203|2015-01-16|2015-01-20|70.028|37|832.14|22147
6776|Low|0.02|4.57|5.42|667|Allison Kirby|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders|0.37|United States|Central|Texas|Dallas|75203|2015-04-22|2015-04-26|-124.2805|45|221.06|48257
24882|Medium|0.09|2.89|0.5|669|Amy Shea|Regular Air|Home Office|Office Supplies|Labels|Small Box|Avery 498|0.38|United States|Central|Iowa|Ottumwa|52501|2015-03-20|2015-03-22|40.4823|22|58.67|88475
24883|Medium|0.02|48.91|5.81|669|Amy Shea|Regular Air|Home Office|Office Supplies|Paper|Small Box|Xerox 1891|0.38|United States|Central|Iowa|Ottumwa|52501|2015-03-20|2015-03-21|32.86|2|101.06|88475
19423|Low|0.07|2.88|1.01|672|Brian Leach|Regular Air|Small Business|Office Supplies|Pens & Art Supplies|Wrap Bag|Sanford Colorific Colored Pencils, 12/Box|0.55|United States|Central|Iowa|Newton|50208|2015-02-05|2015-02-09|9.59|12|34.97|88173
19424|Low|0.1|195.99|3.99|672|Brian Leach|Regular Air|Small Business|Technology|Telephones and Communication|Small Box|R380|0.58|United States|Central|Iowa|Newton|50208|2015-02-05|2015-02-12|-655.424|2|308.86|88173
25059|Critical|0.06|161.55|19.99|674|Albert Frost|Regular Air|Small Business|Office Supplies|Storage & Organization|Small Box|Fellowes Super Stor/Drawer® Files|0.66|United States|Central|Missouri|Raytown|64133|2015-01-02|2015-01-03|-7.580000000000041|3|485.01|88174
18555|Medium|0.06|17.67|8.99|683|Seth Merrill|Express Air|Small Business|Furniture|Office Furnishings|Small Pack|"Executive Impressions 12"" Wall Clock"|0.47|United States|Central|Nebraska|Papillion|68046|2015-04-07|2015-04-08|38.06|4|69.96|87765
21411|Critical|0.07|279.48|35.0|688|Ashley Reese|Regular Air|Small Business|Office Supplies|Storage & Organization|Large Box|Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units|0.8|United States|Central|Missouri|Saint Louis|63116|2015-05-16|2015-05-16|-207.28|10|2716.09|88503
19325|Low|0.06|4.18|2.99|688|Ashley Reese|Regular Air|Small Business|Office Supplies|Binders and Binder Accessories|Small Box|Avery® Durable Slant Ring Binders With Label Holder|0.37|United States|Central|Missouri|Saint Louis|63116|2015-03-06|2015-03-08|-12.719|5|21.34|88504
26321|Medium|0.07|1.7|1.99|689|Tommy Honeycutt|Regular Air|Small Business|Technology|Computer Peripherals|Small Pack|BASF Silver 74 Minute CD-R|0.51|United States|Central|Missouri|Saint Peters|63376|2015-02-04|2015-02-05|-51.42|10|17.42|88502
22613|Medium|0.06|8.12|2.83|696|Johnny Reid|Regular Air|Corporate|Technology|Computer Peripherals|Small Pack|Imation Neon Mac Format Diskettes, 10/Pack|0.77|United States|Central|Indiana|Crown Point|46307|2015-03-27|2015-03-28|-82.83|10|78.54|89847
22614|Medium|0.05|51.65|18.45|696|Johnny Reid|Regular Air|Corporate|Furniture|Office Furnishings|Medium Box|Deflect-o EconoMat Nonstudded, No Bevel Mat|0.65|United States|Central|Indiana|Crown Point|46307|2015-03-27|2015-03-28|25.04|12|605.1|89847
