Row ID|Order Priority|Discount|Unit Price|Shipping Cost|Customer ID|Customer Name|Ship Mode|Customer Segment|Product Category|Product Sub-Category|Product Container|Product Name|Product Base Margin|Country|Region|State or Province|City|Postal Code|Order Date|Ship Date|Profit|Quantity ordered new|Sales|Order ID
21776|Critical|0.06|9.48|7.29|11|Marcus Dunlap|Regular Air|Home Office|Furniture|Office Furnishings|Small Pack|DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7|0.45|United States|East|New Jersey|Roselle|7203|2015-02-15|2015-02-17|-53.8096|22|211.15|90192
18181|Critical|0.0|4.42|4.99|15|Timothy Reese|Regular Air|Small Business|Office Supplies|Envelopes|Small Box|Grip Seal Envelopes|0.38|United States|East|New York|Smithtown|11787|2015-04-08|2015-04-09|-59.82|7|33.47|86837
20925|Medium|0.01|35.94|6.66|15|Timothy Reese|Regular Air|Small Business|Office Supplies|Envelopes|Small Box|Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray|0.4|United States|East|New York|Smithtown|11787|2015-05-28|2015-05-28|261.8756999999999|10|379.53|86839
26267|High|0.04|2.98|1.58|16|Sarah Ramsey|Regular Air|Small Business|Office Supplies|Rubber Bands|Wrap Bag|Staples Gold Paper Clips|0.39|United States|East|New York|Syracuse|13210|2015-02-12|2015-02-15|2.63|6|18.8|86836
26268|High|0.05|115.99|2.5|16|Sarah Ramsey|Regular Air|Small Business|Technology|Telephones and Communication|Small Box|StarTAC 7797|0.55|United States|East|New York|Syracuse|13210|2015-02-12|2015-02-14|652.7330999999999|10|945.99|86836
5890|High|0.05|26.48|6.93|21|Tony Wilkins Winters|Regular Air|Small Business|Furniture|Office Furnishings|Small Box|DAX Natural Wood-Tone Poster Frame|0.49|United States|East|New York|New York City|10012|2015-05-15|2015-05-16|384.38|70|1876.69|41793
6062|Not Specified|0.08|5.0|3.39|21|Tony Wilkins Winters|Regular Air|Small Business|Office Supplies|Rubber Bands|Wrap Bag|Advantus Plastic Paper Clips|0.37|United States|East|New York|New York City|10012|2015-05-21|2015-05-22|-17.49|58|293.06|42949
6063|Not Specified|0.07|12.99|9.44|21|Tony Wilkins Winters|Regular Air|Small Business|Technology|Office Machines|Medium Box|Hewlett Packard 6S Scientific Calculator|0.39|United States|East|New York|New York City|10012|2015-05-21|2015-05-23|-114.6399|71|914.29|42949
20697|Medium|0.06|3.8|1.49|56|Randall Montgomery|Regular Air|Consumer|Office Supplies|Binders and Binder Accessories|Small Box|Durable Pressboard Binders|0.38|United States|East|New York|Tonawanda|14150|2015-04-20|2015-04-21|19.6282|20|73.55|88075
20698|Medium|0.06|1.76|0.7|56|Randall Montgomery|Regular Air|Consumer|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 310|0.56|United States|East|New York|Tonawanda|14150|2015-04-20|2015-04-21|-1.6524|17|29.57|88075
5272|Low|0.0|291.73|48.8|68|Scott Bunn|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs|0.56|United States|East|New York|New York City|10177|2015-01-02|2015-01-02|-308.928|4|1239.06|37537
5273|Low|0.07|100.98|45.0|68|Scott Bunn|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Hon Valutask™ Swivel Chairs|0.69|United States|East|New York|New York City|10177|2015-01-02|2015-01-04|-1679.76|43|4083.19|37537
5274|Low|0.05|155.06|7.07|68|Scott Bunn|Regular Air|Corporate|Office Supplies|Storage & Organization|Small Box|Dual Level, Single-Width Filing Carts|0.59|United States|East|New York|New York City|10177|2015-01-02|2015-01-09|575.3960000000001|32|4902.38|37537
7786|High|0.09|122.99|70.2|68|Scott Bunn|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Global High-Back Leather Tilter, Burgundy|0.74|United States|East|New York|New York City|10177|2015-02-02|2015-02-04|-2426.55|49|5718.85|55713
25786|High|0.09|122.99|70.2|70|Annette Boone|Delivery Truck|Corporate|Furniture|Chairs & Chairmats|Jumbo Drum|Global High-Back Leather Tilter, Burgundy|0.74|United States|East|Vermont|Burlington|5401|2015-02-02|2015-02-04|-2426.55|12|1400.53|87947
18281|High|0.04|296.18|54.12|83|Edgar Stone|Delivery Truck|Corporate|Furniture|Tables|Jumbo Box|Hon 94000 Series Round Tables|0.76|United States|East|Ohio|Canton|44708|2015-03-15|2015-03-15|-715.7782060000003|6|1821.89|87365
23639|Not Specified|0.0|8.09|7.96|84|Helen Stein|Regular Air|Consumer|Furniture|Office Furnishings|Small Box|"6"" Cubicle Wall Clock, Black"|0.49|United States|East|Ohio|Cincinnati|45231|2015-02-02|2015-02-03|-144.56|11|90.98|87364
23880|High|0.08|896.99|19.99|84|Helen Stein|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|GBC DocuBind TL300 Electric Binding System|0.38|United States|East|Ohio|Cincinnati|45231|2015-03-30|2015-04-02|7402.32|13|10728.0|87366
18494|Medium|0.1|19.98|4.0|101|Claudia Boyle|Regular Air|Consumer|Technology|Computer Peripherals|Small Box|Belkin 105-Key Black Keyboard|0.68|United States|East|Maine|Biddeford|4005|2015-06-22|2015-06-24|-16.2|16|303.59|88205
6014|Medium|0.04|300.98|54.92|102|Caroline Johnston|Delivery Truck|Consumer|Furniture|Bookcases|Jumbo Box|Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors|0.55|United States|East|Massachusetts|Boston|2129|2015-04-06|2015-04-07|2023.75|31|9459.94|42599
494|Medium|0.1|19.98|4.0|102|Caroline Johnston|Regular Air|Consumer|Technology|Computer Peripherals|Small Box|Belkin 105-Key Black Keyboard|0.68|United States|East|Massachusetts|Boston|2129|2015-06-22|2015-06-24|-20.25|65|1233.32|3397
495|Medium|0.09|2.88|1.49|102|Caroline Johnston|Regular Air|Consumer|Office Supplies|Binders and Binder Accessories|Small Box|Avery Durable Binders|0.36|United States|East|Massachusetts|Boston|2129|2015-06-22|2015-06-23|-3.381|17|47.31|3397
24014|Medium|0.04|300.98|54.92|107|Lois Hamilton|Delivery Truck|Consumer|Furniture|Bookcases|Jumbo Box|Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors|0.55|United States|East|New Hampshire|Dover|3820|2015-04-06|2015-04-07|1684.4763|8|2441.27|88204
18495|Medium|0.09|2.88|1.49|109|Tom McFarland|Regular Air|Consumer|Office Supplies|Binders and Binder Accessories|Small Box|Avery Durable Binders|0.36|United States|East|New Jersey|Lodi|7644|2015-06-22|2015-06-23|-2.7048|4|11.13|88205
24803|Critical|0.03|22.84|11.54|142|Brooke Weeks Taylor|Regular Air|Small Business|Office Supplies|Paper|Small Box|Xerox 1964|0.39|United States|East|Connecticut|Ansonia|6401|2015-06-02|2015-06-03|91.95599999999999|13|312.59|91087
24805|Critical|0.05|10.98|3.37|144|Marguerite Moss|Regular Air|Small Business|Office Supplies|Scissors, Rulers and Trimmers|Small Pack|Fiskars® Softgrip Scissors|0.57|United States|East|Massachusetts|Yarmouth|2664|2015-06-02|2015-06-03|-2.544|6|64.4|91087
24849|Medium|0.06|7.04|2.17|145|Rhonda Ivey|Regular Air|Small Business|Office Supplies|Paper|Wrap Bag|"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page"|0.38|United States|East|Pennsylvania|West Mifflin|15122|2015-01-15|2015-01-17|2.4852|2|14.65|91086
25582|Low|0.07|154.13|69.0|145|Rhonda Ivey|Express Air|Home Office|Furniture|Tables|Large Box|Laminate Occasional Tables|0.68|United States|East|Pennsylvania|West Mifflin|15122|2015-03-16|2015-03-16|-634.7341000000001|3|453.62|91089
19314|Critical|0.05|1.88|1.49|171|Christina Matthews|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Staples® General Use 3-Ring Binders|0.37|United States|East|New Jersey|Fort Lee|7024|2015-04-13|2015-04-15|-2.9095|1|3.42|87464
23361|Critical|0.02|49.99|19.99|184|Phillip Holmes|Regular Air|Small Business|Technology|Computer Peripherals|Small Box|Zoom V.92 USB External Faxmodem|0.41|United States|East|Massachusetts|Arlington|2474|2015-02-21|2015-02-21|-76.89|5|250.5|88360
