Row ID|Order Priority|Discount|Unit Price|Shipping Cost|Customer ID|Customer Name|Ship Mode|Customer Segment|Product Category|Product Sub-Category|Product Container|Product Name|Product Base Margin|Country|Region|State or Province|City|Postal Code|Order Date|Ship Date|Profit|Quantity ordered new|Sales|Order ID
21017|Not Specified|0.0|3.69|0.5|64|Lynn Morrow|Regular Air|Small Business|Office Supplies|Labels|Small Box|Avery 501|0.38|United States|South|Virginia|Salem|24153|2015-03-02|2015-03-04|-37.5291|1|4.0|87406
21019|Not Specified|0.02|175.99|4.99|64|Lynn Morrow|Express Air|Small Business|Technology|Telephones and Communication|Small Box|5165|0.59|United States|South|Virginia|Salem|24153|2015-03-02|2015-03-02|101.49|4|589.8|87406
23069|High|0.07|8.34|1.43|92|Victoria Baker Hoover|Regular Air|Home Office|Office Supplies|Paper|Wrap Bag|"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages"|0.35|United States|South|Louisiana|Terrytown|70056|2015-05-17|2015-05-19|-190.68|16|132.08|87175
23070|High|0.09|4.98|6.07|92|Victoria Baker Hoover|Regular Air|Home Office|Office Supplies|Paper|Small Box|Xerox 1897|0.36|United States|South|Louisiana|Terrytown|70056|2015-05-17|2015-05-18|325.398|9|45.34|87175
23203|Medium|0.04|12.98|3.14|92|Victoria Baker Hoover|Express Air|Corporate|Office Supplies|Scissors, Rulers and Trimmers|Small Pack|"Acme® 8"" Straight Scissors"|0.6|United States|South|Louisiana|Terrytown|70056|2015-06-07|2015-06-09|22.818|16|216.04|87178
19942|Critical|0.06|8.57|6.14|123|Shawn Stern|Regular Air|Home Office|Office Supplies|Scissors, Rulers and Trimmers|Small Pack|Acme® Office Executive Series Stainless Steel Trimmers|0.59|United States|South|Virginia|Tysons Corner|22102|2015-04-09|2015-04-10|105.678|11|94.97|90669
19058|Critical|0.09|32.98|5.5|151|Geoffrey Zhu|Regular Air|Home Office|Technology|Computer Peripherals|Small Box|PC Concepts 116 Key Quantum 3000 Keyboard|0.75|United States|South|Tennessee|Kingsport|37664|2015-01-22|2015-01-23|-20.258|2|62.46|89521
20679|High|0.09|5.98|2.5|151|Geoffrey Zhu|Regular Air|Home Office|Office Supplies|Envelopes|Small Box|Wausau Papers Astrobrights® Colored Envelopes|0.36|United States|South|Tennessee|Kingsport|37664|2015-04-20|2015-04-22|13.896|5|28.11|89523
21103|Critical|0.09|2.88|0.7|152|Kent Kerr|Regular Air|Consumer|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 335|0.56|United States|South|Tennessee|Knoxville|37918|2015-01-15|2015-01-16|-172.718|2|5.5|89520
22243|Low|0.01|79.52|48.2|152|Kent Kerr|Regular Air|Home Office|Furniture|Office Furnishings|Medium Box|Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets|0.74|United States|South|Tennessee|Knoxville|37918|2015-04-19|2015-04-26|-40.684|8|667.84|89522
21767|High|0.01|65.99|8.99|152|Kent Kerr|Regular Air|Consumer|Technology|Telephones and Communication|Small Box|StarTAC Analog|0.6|United States|South|Tennessee|Knoxville|37918|2015-03-29|2015-04-01|97.86|5|292.23|89524
22470|Low|0.1|39.98|4.0|152|Kent Kerr|Regular Air|Small Business|Technology|Computer Peripherals|Small Box|Microsoft Natural Keyboard Elite|0.7|United States|South|Tennessee|Knoxville|37918|2015-06-18|2015-06-22|360.24|21|772.56|89525
21040|Low|0.08|399.98|12.06|166|Vicki Hauser|Delivery Truck|Consumer|Technology|Office Machines|Jumbo Box|Okidata ML320 Series Turbo Dot Matrix Printers|0.56|United States|South|Tennessee|Lebanon|37087|2015-01-11|2015-01-18|28.5141|5|1839.91|89426
19315|Low|0.08|43.22|16.71|169|Janice Cole|Regular Air|Corporate|Technology|Computer Peripherals|Small Box|Fellowes Mobile Numeric Keypad, Graphite|0.66|United States|South|Louisiana|Baton Rouge|70802|2015-01-03|2015-01-05|280.27458|3|130.62|87463
19316|Low|0.05|574.74|24.49|169|Janice Cole|Regular Air|Corporate|Technology|Office Machines|Large Box|Polycom ViaVideo™ Desktop Video Communications Unit|0.37|United States|South|Louisiana|Baton Rouge|70802|2015-01-03|2015-01-10|-112.4263|12|6945.16|87463
19317|Low|0.04|10.14|2.27|169|Janice Cole|Regular Air|Corporate|Office Supplies|Paper|Wrap Bag|"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack"|0.36|United States|South|Louisiana|Baton Rouge|70802|2015-01-03|2015-01-07|24.924|3|30.94|87463
21203|Medium|0.03|60.89|32.41|228|Colleen Andrews|Delivery Truck|Small Business|Furniture|Chairs & Chairmats|Jumbo Drum|Global Push Button Manager's Chair, Indigo|0.56|United States|South|North Carolina|Mint Hill|28227|2015-04-02|2015-04-03|36.354|7|450.49|88527
18849|Medium|0.02|146.05|80.2|247|Marshall Brandt Briggs|Delivery Truck|Corporate|Furniture|Tables|Jumbo Box|BPI Conference Tables|0.71|United States|South|Tennessee|Maryville|37804|2015-02-23|2015-02-23|-101.192|5|798.69|89139
18850|Medium|0.06|65.99|5.92|247|Marshall Brandt Briggs|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|252|0.55|United States|South|Tennessee|Maryville|37804|2015-02-23|2015-02-24|-3.332000000000034|14|792.11|89139
18842|Medium|0.09|2.88|0.99|247|Marshall Brandt Briggs|Regular Air|Corporate|Office Supplies|Labels|Small Box|Avery 514|0.36|United States|South|Tennessee|Maryville|37804|2015-03-21|2015-03-23|-145.082|10|28.73|89140
24498|Medium|0.05|17.48|1.99|258|Allan Shields|Regular Air|Consumer|Technology|Computer Peripherals|Small Pack|Maxell Pro 80 Minute CD-R, 10/Pack|0.45|United States|South|Florida|Seminole|33772|2015-01-02|2015-01-04|-127.008|3|52.47|85858
19515|Medium|0.1|80.97|30.06|271|Sam Rouse|Delivery Truck|Small Business|Technology|Office Machines|Jumbo Box|Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer|0.4|United States|South|Georgia|Forest Park|30297|2015-03-30|2015-03-31|128.0253|12|899.81|88940
770|Low|0.02|5.58|5.3|272|Eleanor Swain|Regular Air|Home Office|Office Supplies|Envelopes|Small Box|Staples Brown Kraft Recycled Clasp Envelopes|0.35|United States|South|North Carolina|Charlotte|28204|2015-04-07|2015-04-12|-29.8984|11|68.46|5509
771|Low|0.03|40.89|18.98|272|Eleanor Swain|Regular Air|Home Office|Furniture|Office Furnishings|Small Box|Eldon Executive Woodline II Cherry Finish Desk Accessories|0.57|United States|South|North Carolina|Charlotte|28204|2015-04-07|2015-04-14|52.9166|21|885.23|5509
5059|Low|0.09|35.94|6.66|272|Eleanor Swain|Regular Air|Home Office|Office Supplies|Envelopes|Small Box|Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray|0.4|United States|South|North Carolina|Charlotte|28204|2015-06-05|2015-06-10|72.1858|24|836.47|36069
5061|Low|0.09|4.98|7.44|272|Eleanor Swain|Regular Air|Home Office|Office Supplies|Paper|Small Box|Xerox 1922|0.36|United States|South|North Carolina|Charlotte|28204|2015-06-05|2015-06-07|-122.3733|37|189.83|36069
480|Critical|0.01|3.26|1.86|342|Jacqueline Noble|Regular Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink|0.41|United States|South|Florida|Miami|33181|2015-05-04|2015-05-06|-4.668299999999999|20|73.97|3332
2408|Critical|0.0|8.34|2.64|349|Kim Weiss|Express Air|Home Office|Office Supplies|Scissors, Rulers and Trimmers|Small Pack|Acme® Elite Stainless Steel Scissors|0.59|United States|South|Florida|Miami|33132|2015-06-09|2015-06-11|5.8625|23|212.89|17446
1595|Medium|0.04|99.23|8.99|349|Kim Weiss|Regular Air|Home Office|Furniture|Office Furnishings|Small Pack|"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box"|0.35|United States|South|Florida|Miami|33132|2015-01-02|2015-01-04|1916.6757|54|5555.6|11527
21392|Not Specified|0.02|200.98|55.96|375|Sandra Sharma|Delivery Truck|Small Business|Furniture|Bookcases|Jumbo Box|O'Sullivan Living Dimensions 3-Shelf Bookcases|0.75|United States|South|Tennessee|Morristown|37814|2015-03-14|2015-03-16|-224.9478|11|2331.9|90917
21393|Not Specified|0.02|4.28|5.17|375|Sandra Sharma|Regular Air|Small Business|Office Supplies|Paper|Small Box|Xerox 1971|0.4|United States|South|Tennessee|Morristown|37814|2015-03-14|2015-03-15|196.8|6|27.47|90917
24638|Critical|0.04|15.98|4.0|395|Monica McCormick|Regular Air|Corporate|Technology|Computer Peripherals|Small Box|Logitech Access Keyboard|0.37|United States|South|North Carolina|Albemarle|28001|2015-06-18|2015-06-19|-19.208|4|64.59|86384
24639|Critical|0.06|22.84|5.47|395|Monica McCormick|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 1929|0.39|United States|South|North Carolina|Albemarle|28001|2015-06-18|2015-06-20|7.44|20|461.94|86384
462|Not Specified|0.07|179.99|19.99|471|Ross Simpson|Express Air|Consumer|Technology|Computer Peripherals|Small Box|Motorola SB4200 Cable Modem|0.48|United States|South|Georgia|Atlanta|30318|2015-02-08|2015-02-08|-568.5351|4|718.03|3138
26315|Critical|0.07|152.48|6.5|497|Steve McKee|Regular Air|Small Business|Technology|Computer Peripherals|Small Box|Adesso Programmable 142-Key Keyboard|0.74|United States|South|Tennessee|Murfreesboro|37130|2015-05-14|2015-05-16|171.8388|35|5062.49|90706
18303|Critical|0.01|55.98|4.86|507|Carol Saunders|Express Air|Corporate|Office Supplies|Paper|Small Box|Xerox 1908|0.36|United States|South|Kentucky|Bowling Green|42104|2015-04-18|2015-04-20|32.9409|11|646.97|87357
18304|Critical|0.04|65.99|8.99|507|Carol Saunders|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|Talkabout T8367|0.56|United States|South|Kentucky|Bowling Green|42104|2015-04-18|2015-04-19|131.334|17|946.29|87357
21958|High|0.01|20.98|53.03|508|Cameron Owens|Delivery Truck|Corporate|Office Supplies|Storage & Organization|Jumbo Drum|Tennsco Lockers, Gray|0.78|United States|South|Kentucky|Covington|41011|2015-02-23|2015-02-23|-282.0818|5|123.0|87356
18305|Critical|0.01|128.24|12.65|508|Cameron Owens|Regular Air|Corporate|Furniture|Chairs & Chairmats|Medium Box|SAFCO Folding Chair Trolley||United States|South|Kentucky|Covington|41011|2015-04-18|2015-04-21|140.1354|4|554.08|87357
21517|Not Specified|0.03|1270.99|19.99|524|Gina McKnight|Regular Air|Consumer|Office Supplies|Binders and Binder Accessories|Small Box|Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind|0.35|United States|South|Tennessee|Farragut|37922|2015-01-20|2015-01-22|363.552|2|2589.01|91127
21518|Not Specified|0.07|2036.48|14.7|524|Gina McKnight|Delivery Truck|Consumer|Technology|Office Machines|Jumbo Drum|Lexmark 4227 Plus Dot Matrix Printer|0.55|United States|South|Tennessee|Farragut|37922|2015-01-20|2015-01-22|-11.536|1|1893.93|91127
