Row ID|Order Priority|Discount|Unit Price|Shipping Cost|Customer ID|Customer Name|Ship Mode|Customer Segment|Product Category|Product Sub-Category|Product Container|Product Name|Product Base Margin|Country|Region|State or Province|City|Postal Code|Order Date|Ship Date|Profit|Quantity ordered new|Sales|Order ID
20847|High|0.01|2.84|0.93|3|Bonnie Potter|Express Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|SANFORD Liquid Accent™ Tank-Style Highlighters|0.54|United States|West|Washington|Anacortes|98221|2015-01-07|2015-01-08|4.56|4|13.01|88522
20228|Not Specified|0.02|500.98|26.0|5|Ronnie Proctor|Delivery Truck|Home Office|Furniture|Chairs & Chairmats|Jumbo Drum|Global Troy™ Executive Leather Low-Back Tilter|0.6|United States|West|California|San Gabriel|91776|2015-06-13|2015-06-15|4390.3665|12|6362.85|90193
23890|High|0.05|26.48|6.93|18|Laurie Hanna|Regular Air|Small Business|Furniture|Office Furnishings|Small Box|DAX Natural Wood-Tone Poster Frame|0.49|United States|West|Montana|Helena|59601|2015-05-15|2015-05-16|314.4813|17|455.77|90031
24063|Not Specified|0.07|12.99|9.44|19|Jim Rodgers|Regular Air|Small Business|Technology|Office Machines|Medium Box|Hewlett Packard 6S Scientific Calculator|0.39|United States|West|Montana|Missoula|59801|2015-05-21|2015-05-23|-114.6399|18|231.79|90032
20631|High|0.06|55.48|14.3|24|Edna Thomas|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 194|0.37|United States|West|California|Laguna Niguel|92677|2015-01-28|2015-01-29|-28.2968|1|67.49|87651
20632|High|0.02|1.68|1.57|24|Edna Thomas|Regular Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 323|0.59|United States|West|California|Laguna Niguel|92677|2015-01-28|2015-01-30|-5.3072|1|2.25|87651
23967|Not Specified|0.04|4.14|6.6|27|Guy Gallagher|Regular Air|Corporate|Furniture|Office Furnishings|Small Box|Eldon Image Series Black Desk Accessories|0.49|United States|West|California|Lakewood|90712|2015-05-02|2015-05-04|8.894000000000005|12|54.78|87652
23509|High|0.08|34.99|7.73|32|Matthew Berman|Regular Air|Corporate|Office Supplies|Pens & Art Supplies|Small Box|Hunt Boston® Vacuum Mount KS Pencil Sharpener|0.59|United States|West|Oregon|Grants Pass|97526|2015-02-22|2015-02-23|144.69|13|424.68|89199
23612|High|0.01|17.98|8.51|32|Matthew Berman|Regular Air|Corporate|Technology|Office Machines|Medium Box|Canon P1-DHIII Palm Printing Calculator|0.4|United States|West|Oregon|Grants Pass|97526|2015-03-27|2015-03-28|-35.8788|2|40.17|89200
23278|Medium|0.09|125.99|7.69|32|Matthew Berman|Express Air|Corporate|Technology|Telephones and Communication|Small Box|StarTAC 3000|0.59|United States|West|Oregon|Grants Pass|97526|2015-01-20|2015-01-22|209.997|8|783.55|89202
19355|Low|0.06|205.99|8.99|32|Matthew Berman|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|TimeportP7382|0.56|United States|West|Oregon|Grants Pass|97526|2015-03-12|2015-03-19|3568.096|22|3838.14|89203
23654|Not Specified|0.03|4.24|5.41|33|Ricky Hensley|Regular Air|Corporate|Office Supplies|Binders and Binder Accessories|Small Box|Storex DuraTech Recycled Plastic Frosted Binders|0.35|United States|West|Oregon|Gresham|97030|2015-06-15|2015-06-17|-84.4376|13|58.68|89201
23655|Not Specified|0.04|2.94|0.7|33|Ricky Hensley|Regular Air|Corporate|Office Supplies|Pens & Art Supplies|Wrap Bag|Newell 338|0.58|United States|West|Oregon|Gresham|97030|2015-06-15|2015-06-16|24.312|18|53.1|89201
25933|High|0.0|99.99|19.99|43|Theodore Moran|Regular Air|Consumer|Technology|Office Machines|Small Box|AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting|0.52|United States|West|Washington|Redmond|98052|2015-05-10|2015-05-11|25.91382000000002|6|647.07|91454
18551|Not Specified|0.0|115.99|2.5|52|Lorraine Kelly|Regular Air|Corporate|Technology|Telephones and Communication|Small Box|6160|0.57|United States|West|Washington|Puyallup|98373|2015-03-10|2015-03-10|162.666|6|627.04|88426
22117|Critical|0.07|3502.14|8.73|53|Sidney Russell Austin|Delivery Truck|Corporate|Technology|Office Machines|Jumbo Box|Okidata Pacemark 4410N Wide Format Dot Matrix Printer|0.57|United States|West|Washington|Redmond|98052|2015-01-28|2015-01-30|-6923.5992|1|3267.55|88425
18552|Not Specified|0.02|5.98|5.79|53|Sidney Russell Austin|Regular Air|Corporate|Office Supplies|Paper|Small Box|Xerox 1903|0.36|United States|West|Washington|Redmond|98052|2015-03-10|2015-03-11|-67.49|17|110.19|88426
23274|Low|0.05|155.06|7.07|67|Ellen McCormick|Regular Air|Corporate|Office Supplies|Storage & Organization|Small Box|Dual Level, Single-Width Filing Carts|0.59|United States|West|California|Napa|94559|2015-01-02|2015-01-09|845.6639999999999|8|1225.6|87946
24663|Low|0.05|161.55|19.99|87|Norman Shields|Regular Air|Corporate|Office Supplies|Storage & Organization|Small Box|Fellowes Super Stor/Drawer® Files|0.66|United States|West|California|Vacaville|95687|2015-06-03|2015-06-08|1892.424|19|3127.69|90596
23841|High|0.09|4.91|0.5|87|Norman Shields|Regular Air|Corporate|Office Supplies|Labels|Small Box|Avery 493|0.36|United States|West|California|Vacaville|95687|2015-03-22|2015-03-23|28.8558|9|41.82|90597
23842|High|0.01|296.18|54.12|87|Norman Shields|Delivery Truck|Corporate|Furniture|Tables|Jumbo Box|Hon 94000 Series Round Tables|0.76|United States|West|California|Vacaville|95687|2015-03-22|2015-03-25|173.48|9|2875.72|90597
